Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Buchinger,Kudlic Bros.,346.24,692.48,629, $502.05 , $-   , $977.05 
Buchinger,Labella Associates Dpc,57.51,115.02,107.2, $83.39 , $-   , $83.39 
Buchinger,Laydon Industries,333.15,666.31,644.6, $483.07 , $-   , $958.07 
Buchinger,Ledge Creek Development Inc,70.33,140.66,174.8, $101.98 , $-   , $101.98 
Buchinger,Liberty Underground,55.19,110.37,102.1, $80.02 , $-   , $80.02 
Buchinger,Liberty Utilities-Ma,444.89,889.78,803, $645.09 , $-   ," $1,370.09 "
Buchinger,Liberty Utilities-Ny,284.36,568.72,540.6, $412.32 , $-   , $887.32 
Buchinger,Local 1049,352.43,704.85,684.4, $511.02 , $-   , $986.02 
Buchinger,Local 1298,348.8,697.6,679.8, $505.76 , $-   , $980.76 
Buchinger,Local 15,318.35,636.7,626, $461.61 , $-   , $936.61 
Buchinger,Local 158,265.99,531.98,466.6, $385.69 , $-   , $860.69 
Buchinger,Local 17,261.27,522.53,478.7, $378.83 , $-   , $853.83 
Buchinger,Local 60,289.48,578.96,526.5, $419.75 , $-   , $894.75 
Buchinger,Local 731,309.01,618.01,601.6, $448.06 , $-   , $923.06 
Buchinger,Lospano Plumbing And Heating,307.69,615.37,578, $446.14 , $-   , $921.14 
Buchinger,Maine Natural Gas (Nga),585.13,1170.25,1039.9, $848.43 , $-   ," $1,573.43 "
Buchinger,Master Plumbers Council Of The City Of New York (Mpc),315.02,630.05,605.7, $456.79 , $-   , $931.79 
Buchinger,Mears Construction (Nga),239.81,479.61,479.8, $347.72 , $-   , $822.72 
Buchinger,Middleborough Gas & Electric (Nga),449.94,899.88,800.6, $652.41 , $-   ," $1,377.41 "
Buchinger,Midway Utility,467.14,934.29,835, $677.36 , $-   ," $1,402.36 "
Buchinger,Miller Pipeline,272.4,544.8,494.2, $394.98 , $-   , $869.98 
Buchinger,Mirra Company,460.38,920.76,823.7, $667.55 , $-   ," $1,392.55 "
Buchinger,Msr Utility Maintenance (Nga),442.53,885.05,788.1, $641.66 , $-   ," $1,366.66 "
Buchinger,Mulcare Pipeline Solutions,274.34,548.67,516.6, $397.79 , $-   , $872.79 
Buchinger,Mulholland Welding & Fabrication,349.82,699.64,673.8, $507.24 , $-   , $982.24 
Buchinger,National Field Service Corporation (Nga),261.27,522.53,478.7, $378.83 , $-   , $853.83 
Buchinger,National Fuel,71.25,142.5,175.9, $103.31 , $-   , $103.31 
Buchinger,Network Infrastructure,328.32,656.65,639, $476.07 , $-   , $951.07 
Buchinger,NEUCO,466.88,933.75,835.3, $676.97 , $-   ," $1,401.97 "
Buchinger,New Jersey Natural Gas,344.5,688.99,633.9, $499.52 , $-   , $974.52 
Buchinger,Ng Advantage,413.27,826.53,830, $599.23 , $-   ," $1,324.23 "
Buchinger,Northeast Gas Association,407.97,815.93,725.1, $591.55 , $-   ," $1,316.55 "
Buchinger,Northeast Underground (Nga),119.6,239.21,216.1, $173.43 , $-   , $398.43 
Buchinger,Norwich Public Utilities,394.48,788.95,727.1, $571.99 , $-   ," $1,046.99 "
Buchinger,Npl Construction (Nga),345.79,691.59,638.2, $501.40 , $-   , $976.40 
Buchinger,Omark Consultants,402.63,805.27,721.5, $583.82 , $-   ," $1,308.82 "
Buchinger,Orange & Rockland Utilities,247.53,495.05,451.5, $358.91 , $-   , $833.91 
Buchinger,Parsons (Nga),288.97,577.95,526.5, $419.01 , $-   , $894.01 
Buchinger,Pcm,326.85,653.7,633.6, $473.93 , $-   , $948.93 
Buchinger,Pioneer Inspection,486.39,972.78,870.4, $705.27 , $-   ," $1,430.27 "
Buchinger,Pl-Enerserv,338.87,677.73,597.9, $491.35 , $-   , $966.35 
Buchinger,Powell Controls,442.72,885.44,792.5, $641.94 , $-   ," $1,366.94 "
Buchinger,Power And Construction Group Inc.,36.73,73.46,85.2, $53.26 , $-   , $53.26 
Buchinger,"Precision Pipeline Solutions, LLC (PPS)",263.89,527.79,488.3, $382.65 , $-   , $857.65 
Buchinger,Premier Infrastructure & Energy,352.43,704.85,684.4, $511.02 , $-   , $986.02 
Buchinger,Primoris Distribution Svcs (Nga),282.76,565.51,619, $409.99 , $-   , $884.99 
